LLM Rater
  Provider: anthropic
  Model: claude-sonnet-4-5
  Source: webcam
  RPM limit: 50
  Download timeout: 30s
  API timeout:      60s
  Skip rated: True
  Write to DB: True
  Dry run: False
  Verbose: False
  Output: ml/artifacts/llm_ratings/ratings_20260507_071316.csv
Connecting to Postgres…
  connected.
  Images to rate: 29611
[1/29611] record 66407: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 8.8s, total 9.1s)
[2126/29611] record 70028: q=0.35 sunset=True conf=0.75  (dl 0.1s, api 3.9s, total 4.0s)
[2127/29611] record 70029: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 8.2s, total 8.4s)
[2128/29611] record 70030: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 5.2s, total 5.4s)
[2129/29611] record 70031: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.9s, total 4.0s)
[2130/29611] record 70032: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.6s)
[2131/29611] record 70033: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 4.7s, total 4.9s)
[2132/29611] record 70034: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.0s, total 4.2s)
[2133/29611] record 70035: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.8s, total 4.0s)
[2134/29611] record 70036: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 4.5s, total 4.7s)
[2135/29611] record 70037: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 5.1s, total 5.3s)
[2136/29611] record 70038: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.6s)
[2137/29611] record 70039: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 2.7s, total 2.9s)
[2138/29611] record 70040: q=0.45 sunset=True conf=0.70  (dl 0.1s, api 3.9s, total 4.0s)
[2139/29611] record 70041: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.5s, total 2.8s)
[2140/29611] record 70042: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 4.2s, total 4.4s)
[2141/29611] record 70043: q=0.35 sunset=True conf=0.70  (dl 0.1s, api 4.1s, total 4.2s)
[2142/29611] record 70044: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.6s, total 3.8s)
[2143/29611] record 70045: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 2.9s, total 3.1s)
[2144/29611] record 70046: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.4s)
[2145/29611] record 70047: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 4.3s, total 4.4s)
[2146/29611] record 70048: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.8s, total 4.0s)
[2147/29611] record 70049: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.8s, total 4.0s)
[2148/29611] record 70050: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 2.9s, total 3.2s)
[2149/29611] record 70051: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.5s, total 2.7s)
[2150/29611] record 70052: q=0.35 sunset=True conf=0.70  (dl 0.1s, api 3.6s, total 3.7s)
[2151/29611] record 70053: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.6s, total 3.8s)
[2152/29611] record 70054: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.1s, total 3.3s)
[2153/29611] record 70055: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.4s, total 3.6s)
[2154/29611] record 70056: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.4s, total 2.6s)
[2155/29611] record 70057: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 2.8s, total 3.0s)
[2156/29611] record 70058: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 4.1s, total 4.2s)
[2157/29611] record 70059: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[2158/29611] record 70060: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.1s)
[2159/29611] record 70061: q=0.35 sunset=True conf=0.70  (dl 0.1s, api 3.9s, total 4.0s)
[2160/29611] record 70062: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.5s, total 3.7s)
[2161/29611] record 70063: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.3s, total 3.5s)
[2162/29611] record 70064: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[2163/29611] record 70065: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.4s, total 3.6s)
[2164/29611] record 70066: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.5s, total 3.7s)
[2165/29611] record 70067: q=0.00 sunset=False conf=0.95  (dl 0.4s, api 3.6s, total 3.9s)
[2166/29611] record 70068: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 3.2s, total 3.4s)
[2167/29611] record 70069: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.6s)
[2168/29611] record 70070: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 3.4s, total 3.6s)
[2169/29611] record 70071: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.0s, total 4.2s)
[2170/29611] record 70072: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2171/29611] record 70073: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 2.8s, total 3.0s)
[2172/29611] record 70074: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.5s, total 3.6s)
[2173/29611] record 70075: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.4s, total 4.6s)
[2174/29611] record 70076: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 3.1s, total 3.3s)
[2175/29611] record 70077: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2176/29611] record 70078: q=0.72 sunset=True conf=0.75  (dl 0.3s, api 4.3s, total 4.6s)
[2177/29611] record 70079: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.3s, total 4.4s)
[2178/29611] record 70080: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 5.0s, total 5.2s)
[2179/29611] record 70081: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.1s, total 4.3s)
[2180/29611] record 70082: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.6s, total 3.7s)
[2181/29611] record 70083: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 3.6s, total 3.8s)
[2182/29611] record 70084: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[2183/29611] record 70085: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 5.0s, total 5.2s)
[2184/29611] record 70086: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.5s, total 3.8s)
[2185/29611] record 70087: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[2186/29611] record 70088: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.6s, total 4.7s)
[2187/29611] record 70089: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 2.9s, total 3.1s)
[2188/29611] record 70090: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.2s, total 3.3s)
[2189/29611] record 70091: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.8s, total 3.9s)
[2190/29611] record 70092: q=0.00 sunset=False conf=0.95  (dl 0.1s, api 3.1s, total 3.2s)
[2191/29611] record 70093: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2192/29611] record 70094: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 3.1s, total 3.3s)
[2193/29611] record 70095: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.9s, total 4.1s)
[2194/29611] record 70096: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
[2195/29611] record 70097: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[2196/29611] record 70098: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[2197/29611] record 70099: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2198/29611] record 70100: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2199/29611] record 70101: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 6.6s, total 6.8s)
[2200/29611] record 70102: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.1s, total 3.3s)
[2201/29611] record 70103: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[2202/29611] record 70104: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 2.9s, total 3.1s)
[2203/29611] record 70105: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 2.9s, total 3.1s)
[2204/29611] record 70106: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.4s, total 3.6s)
[2205/29611] record 70107: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 6.2s, total 6.4s)
[2206/29611] record 70108: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 2.4s, total 2.7s)
[2207/29611] record 70109: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[2208/29611] record 70110: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2209/29611] record 70111: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[2210/29611] record 70112: q=0.00 sunset=False conf=1.00  (dl 0.3s, api 3.8s, total 4.1s)
[2211/29611] record 70113: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2212/29611] record 70114: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.9s)
[2213/29611] record 70115: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.9s, total 3.1s)
[2214/29611] record 70116: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 3.3s, total 3.5s)
[2215/29611] record 70117: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[2216/29611] record 70118: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.2s, total 3.4s)
[2217/29611] record 70119: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[2218/29611] record 70120: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.6s, total 2.8s)
[2219/29611] record 70121: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[2220/29611] record 70122: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[2221/29611] record 70123: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.7s, total 3.9s)
[2222/29611] record 70124: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 7.0s, total 7.2s)
[2223/29611] record 70125: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
[2224/29611] record 70126: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[2225/29611] record 70127: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2226/29611] record 70128: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.0s, total 3.2s)
[2227/29611] record 70129: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 2.7s, total 3.1s)
[2228/29611] record 70130: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 3.3s, total 3.5s)
[2229/29611] record 70131: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.7s, total 4.9s)
[2230/29611] record 70132: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.4s)
[2231/29611] record 70133: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[2232/29611] record 70134: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.3s, total 4.5s)
[2233/29611] record 70135: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[2234/29611] record 70136: q=0.00 sunset=False conf=0.95  (dl 0.1s, api 3.1s, total 3.2s)
[2235/29611] record 70137: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.4s, total 3.6s)
[2236/29611] record 70138: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 6.2s, total 6.4s)
[2237/29611] record 70139: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 4.3s, total 4.5s)
[2238/29611] record 70140: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2239/29611] record 70141: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[2240/29611] record 70142: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2241/29611] record 70143: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2242/29611] record 70144: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.0s)
[2243/29611] record 70145: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[2244/29611] record 70146: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 2.9s, total 3.2s)
[2245/29611] record 70147: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.6s)
[2246/29611] record 70148: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[2247/29611] record 70149: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.3s, total 3.6s)
[2248/29611] record 70150: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[2249/29611] record 70151: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.2s)
[2250/29611] record 70152: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 4.6s, total 4.7s)
[2251/29611] record 70153: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 4.1s, total 4.3s)
[2252/29611] record 70154: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.4s, total 2.6s)
[2253/29611] record 70155: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.9s)
[2254/29611] record 70156: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.9s)
[2255/29611] record 70157: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[2256/29611] record 70158: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 5.0s, total 5.2s)
[2257/29611] record 70159: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 2.8s, total 3.0s)
[2258/29611] record 70160: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.5s, total 3.8s)
[2259/29611] record 70161: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[2260/29611] record 70162: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
[2261/29611] record 70163: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[2262/29611] record 70164: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.4s, total 4.6s)
[2263/29611] record 70165: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.1s, total 4.3s)
[2264/29611] record 70166: q=0.00 sunset=False conf=0.95  (dl 0.1s, api 2.4s, total 2.6s)
[2265/29611] record 70167: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.4s, total 2.6s)
[2266/29611] record 70168: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.2s, total 4.3s)
[2267/29611] record 70169: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.9s, total 3.1s)
[2268/29611] record 70170: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.0s, total 4.2s)
[2269/29611] record 70171: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.0s, total 3.2s)
[2270/29611] record 70172: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.0s)
[2271/29611] record 70173: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2272/29611] record 70174: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 4.2s, total 4.3s)
[2273/29611] record 70175: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.0s, total 3.3s)
[2274/29611] record 70176: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.1s)
[2275/29611] record 70177: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[2276/29611] record 70178: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.7s, total 3.8s)
[2277/29611] record 70179: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[2278/29611] record 70180: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.8s, total 3.0s)
[2279/29611] record 70181: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.9s, total 4.0s)
[2280/29611] record 70182: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.2s, total 3.4s)
[2281/29611] record 70183: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2282/29611] record 70184: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[2283/29611] record 70185: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.8s, total 4.1s)
[2284/29611] record 70186: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.6s)
[2285/29611] record 70187: q=0.45 sunset=True conf=0.70  (dl 0.1s, api 3.6s, total 3.7s)
[2286/29611] record 70188: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.5s, total 3.7s)
[2287/29611] record 70189: q=0.25 sunset=True conf=0.60  (dl 0.2s, api 3.7s, total 3.9s)
[2288/29611] record 70190: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.5s, total 4.6s)
[2289/29611] record 70191: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.1s, total 4.3s)
[2290/29611] record 70192: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 2.9s)
[2291/29611] record 70193: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.9s)
[2292/29611] record 70194: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[2293/29611] record 70195: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[2294/29611] record 70196: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.8s, total 3.9s)
[2295/29611] record 70197: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.7s, total 3.9s)
[2296/29611] record 70198: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[2297/29611] record 70199: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2298/29611] record 70200: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.1s)
[2299/29611] record 70201: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.0s)
[2300/29611] record 70202: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[2301/29611] record 70203: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.3s, total 2.5s)
[2302/29611] record 70204: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 3.2s, total 3.3s)
[2303/29611] record 70205: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 3.7s, total 3.9s)
[2304/29611] record 70206: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.5s, total 3.7s)
[2305/29611] record 70207: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.9s, total 3.2s)
[2306/29611] record 70208: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[2307/29611] record 70209: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2308/29611] record 70210: q=0.35 sunset=True conf=0.70  (dl 0.3s, api 3.8s, total 4.1s)
[2309/29611] record 70211: q=0.35 sunset=True conf=0.60  (dl 0.1s, api 3.4s, total 3.6s)
[2310/29611] record 70212: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.8s, total 3.9s)
[2311/29611] record 70213: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2312/29611] record 70214: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.1s)
[2313/29611] record 70215: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.6s, total 3.8s)
[2314/29611] record 70216: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.7s, total 3.9s)
[2315/29611] record 70217: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[2316/29611] record 70218: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 6.7s, total 6.8s)
[2317/29611] record 70219: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2318/29611] record 70220: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.2s)
[2319/29611] record 70221: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 5.3s, total 5.6s)
[2320/29611] record 70222: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2321/29611] record 70223: q=0.25 sunset=True conf=0.60  (dl 0.2s, api 4.6s, total 4.7s)
[2322/29611] record 70224: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.1s, total 4.3s)
[2323/29611] record 70225: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.8s)
[2324/29611] record 70226: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[2325/29611] record 70227: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2326/29611] record 70228: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 4.3s, total 4.4s)
[2327/29611] record 70229: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.8s, total 4.0s)
[2328/29611] record 70230: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 4.3s, total 4.5s)
[2329/29611] record 70231: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.7s, total 3.9s)
[2330/29611] record 70232: q=0.25 sunset=True conf=0.60  (dl 0.2s, api 2.9s, total 3.0s)
[2331/29611] record 70233: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.3s, total 3.5s)
[2332/29611] record 70234: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.3s, total 3.4s)
[2333/29611] record 70235: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.1s, total 4.4s)
[2334/29611] record 70236: q=0.25 sunset=True conf=0.70  (dl 0.1s, api 3.7s, total 3.8s)
[2335/29611] record 70237: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
[2336/29611] record 70238: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 2.9s, total 3.1s)
[2337/29611] record 70239: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.1s)
[2338/29611] record 70240: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 2.9s, total 3.1s)
[2339/29611] record 70241: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.7s, total 3.9s)
[2340/29611] record 70242: q=0.00 sunset=False conf=1.00  (dl 0.1s, api 2.8s, total 2.9s)
[2341/29611] record 70243: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2342/29611] record 70244: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.2s, total 2.4s)
[2343/29611] record 70245: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[2344/29611] record 70246: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[2345/29611] record 70247: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 3.9s, total 4.1s)
[2346/29611] record 70248: q=0.45 sunset=True conf=0.65  (dl 0.2s, api 4.0s, total 4.2s)
[2347/29611] record 70249: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.1s, total 3.3s)
[2348/29611] record 70250: q=0.00 sunset=False conf=1.00  (dl 0.1s, api 4.2s, total 4.3s)
[2349/29611] record 70251: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 2.8s, total 3.0s)
[2350/29611] record 70252: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.2s, total 3.4s)
[2351/29611] record 70253: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.6s, total 2.9s)
[2352/29611] record 70254: q=0.00 sunset=False conf=1.00  (dl 0.1s, api 2.9s, total 3.0s)
[2353/29611] record 70255: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.0s)
[2354/29611] record 70256: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.8s, total 3.0s)
[2355/29611] record 70257: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.3s, total 3.5s)
[2356/29611] record 70258: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 2.9s)
[2357/29611] record 70259: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 2.7s, total 2.9s)
[2358/29611] record 70260: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.1s, total 3.4s)
[2359/29611] record 70261: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[2360/29611] record 70262: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.3s, total 2.5s)
[2361/29611] record 70263: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.9s, total 3.1s)
[2362/29611] record 70264: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[2363/29611] record 70265: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[2364/29611] record 70266: q=0.00 sunset=False conf=1.00  (dl 0.1s, api 2.7s, total 2.8s)
[2365/29611] record 70267: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.6s, total 3.8s)
[2366/29611] record 70268: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.6s, total 3.8s)
[2367/29611] record 70269: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 2.7s, total 2.9s)
[2368/29611] record 70270: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.8s, total 4.0s)
[2369/29611] record 70271: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.8s, total 3.0s)
[2370/29611] record 70272: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 6.4s, total 6.6s)
[2371/29611] record 70273: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.7s, total 3.9s)
[2372/29611] record 70274: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.3s)
[2373/29611] record 70275: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.1s, total 3.3s)
[2374/29611] record 70276: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.9s, total 3.1s)
[2375/29611] record 70277: q=0.72 sunset=True conf=0.75  (dl 0.2s, api 6.4s, total 6.6s)
[2376/29611] record 70278: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 2.6s, total 2.9s)
[2377/29611] record 70279: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.6s, total 3.8s)
[2378/29611] record 70280: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[2379/29611] record 70281: q=0.35 sunset=True conf=0.70  (dl 0.1s, api 3.5s, total 3.7s)
[2380/29611] record 70282: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.5s, total 3.7s)
